MOVIE	MOVIEDIR	BREAKDUR	INSTRUCTION
female/AvD/AvD_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/HV/HV_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/EB/EB_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/HV/HV_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/HV/HV_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/MST/MST_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/KH/KH_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LT/LT_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LP/LP_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TR/TR_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/KH/KH_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TV/TV_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TR/TR_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/HV/HV_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/EB/EB_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/MS/MS_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/KH/KH_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AD/AD_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/FW/FW_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/EB/EB_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AB/AB_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AD/AD_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/EB/EB_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AvD/AvD_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TV/TV_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AvD/AvD_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/KH/KH_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/DA/DA_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TR/TR_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TV/TV_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AvD/AvD_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TV/TV_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/FW/FW_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/TV/TV_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/AB/AB_happy.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/GN/GN_neutral.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/LT/LT_disgust.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/MS/MS_blowing.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/SS/SS_fear.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/DA/DA_sad.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
female/MST/MST_anger.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
male/MS/MS_surprise.avi	/Users/frans/MatlabArchive/OSX/Charmaine/CvdGaag	1	No
